pH,k_leak,ngam_base,ngam_extra,ngam_total,pH_cytosol,pump_cost_kJ_per_mol,mu
4.0,0.3,0.7,0.02997,0.72997,7.0,35.18275827389999,0.02529741118477308
4.25,0.3,0.7,0.01684023975571047,0.7168402397557104,7.0,33.698136751075,0.02539886571523912
4.5,0.3,0.7,0.009456832980505137,0.7094568329805051,7.0,32.213515228249996,0.02545591779034787
4.75,0.3,0.7,0.005304838230116769,0.7053048382301167,7.0,30.728893705424998,0.025488000529869406
5.0,0.3,0.7,0.00297,0.70297,7.0,29.2442721826,0.025506041980127646
5.25,0.3,0.7,0.0016570239755710474,0.701657023975571,7.0,27.759650659774998,0.025516187433174117
5.5,0.3,0.7,0.0009186832980505137,0.7009186832980505,7.0,26.275029136949996,0.025521892640685037
5.75,0.3,0.7,0.0005034838230116769,0.7005034838230116,7.0,24.790407614124998,0.025525100914637826
6.0,0.3,0.7,0.00026999999999999995,0.70027,7.0,23.305786091299996,0.025526905059663298
6.25,0.3,0.7,0.0001387023975571047,0.700138702397557,7.0,21.821164568474998,0.025527919604968148
6.5,0.3,0.7,6.486832980505137e-05,0.700064868329805,7.0,20.33654304565,0.025528490125718457
6.75,0.3,0.7,2.334838230116768e-05,0.7000233483823011,7.0,18.851921522825,0.025528810953114336
7.0,0.3,0.7,0.0,0.7,7.0,17.3673,0.025528991367713406
7.25,0.3,0.7,-1.3129760244289526e-05,0.6999868702397557,7.0,15.882678477174998,0.025529092822147062
7.5,0.3,0.7,-2.051316701949486e-05,0.6999794868329805,7.0,14.398056954349999,0.025529149874222334
1.5,0.5,0.7,15.811337735966452,16.511337735966453,6.995121062556256,50.0,0.0
1.75,0.5,0.7,8.891347050194614,9.591347050194614,7.0,48.54435197932499,0.0
2.0,0.5,0.7,4.99995,5.69995,7.0,47.05973045649999,0.0
2.25,0.5,0.7,2.8116566259517453,3.511656625951745,7.0,45.575108933675004,0.0007553962681104332
2.5,0.5,0.7,1.5810888300841899,2.28108883008419,7.0,44.090487410849995,0.013091183530667088
2.75,0.5,0.7,0.8890897050194614,1.5890897050194615,7.0,42.605865888025,0.018658936097241043
3.0,0.5,0.7,0.49995,1.1999499999999999,7.0,41.12124436519999,0.021665844473626787
3.25,0.5,0.7,0.2811206625951746,0.9811206625951745,7.0,39.636622842375,0.023356753314729552
3.5,0.5,0.7,0.15806388300841898,0.858063883008419,7.0,38.152001319549996,0.024307621233211514
3.75,0.5,0.7,0.08886397050194614,0.7888639705019461,7.0,36.667379796725,0.02484233355857206
4.0,0.5,0.7,0.04995,0.74995,7.0,35.18275827389999,0.025143024396209926
4.25,0.5,0.7,0.02806706625951745,0.7280670662595174,7.0,33.698136751075,0.025312115280320437
4.5,0.5,0.7,0.015761388300841898,0.7157613883008419,7.0,32.213515228249996,0.02540720207216871
4.75,0.5,0.7,0.008841397050194615,0.7088413970501946,7.0,30.728893705424998,0.025460673304704168
5.0,0.5,0.7,0.00495,0.70495,7.0,29.2442721826,0.025490742388467966
5.25,0.5,0.7,0.002761706625951746,0.7027617066259517,7.0,27.759650659774998,0.025507651476879237
5.5,0.5,0.7,0.0015311388300841896,0.7015311388300841,7.0,26.275029136949996,0.025517160156064228
5.75,0.5,0.7,0.0008391397050194615,0.7008391397050194,7.0,24.790407614124998,0.02552250727931751
6.0,0.5,0.7,0.00045,0.7004499999999999,7.0,23.305786091299996,0.025525662254768707
6.25,0.5,0.7,0.00023117066259517453,0.7002311706625951,7.0,21.821164568474998,0.025527173417781372
6.5,0.5,0.7,0.00010811388300841896,0.7001081138830084,7.0,20.33654304565,0.025528155964454045
6.75,0.5,0.7,3.891397050194614e-05,0.7000389139705019,7.0,18.851921522825,0.025528690676778553
7.0,0.5,0.7,0.0,0.7,7.0,17.3673,0.025528991367616848
7.25,0.5,0.7,-2.1882933740482546e-05,0.6999781170662595,7.0,15.882678477174998,0.02552916045850137
7.5,0.5,0.7,-3.41886116991581e-05,0.6999658113883008,7.0,14.398056954349999,0.025529255545293124
1.5,0.75,0.7,23.71700660394968,24.41700660394968,6.995121062556256,50.0,0.0
1.75,0.75,0.7,13.337020575291923,14.037020575291923,7.0,48.54435197932499,0.0
2.0,0.75,0.7,7.499925000000001,8.199925,7.0,47.05973045649999,0.0
2.25,0.75,0.7,4.217484938927618,4.917484938927618,7.0,45.575108933675004,0.0
2.5,0.75,0.7,2.3716332451262843,3.071633245126284,7.0,44.090487410849995,0.005194310359243519
2.75,0.75,0.7,1.3336345575291921,2.033634557529192,7.0,42.605865888025,0.01522390846205288
3.0,0.75,0.7,0.7499250000000001,1.449925,7.0,41.12124436519999,0.019734271026631254
