gene,growth,ratio,classification,model,wt_growth
YEL021W,1.2950736739389682e-16,1.5409788574381758e-15,essential,CNCM_I745,0.084042
YEL024W,0.024371218998686085,0.28998761972163056,growth_reduced,CNCM_I745,0.084042
YEL027W,0.08404225581836063,0.9999997834378603,neutral,CNCM_I745,0.084042
YEL029C,0.08404225581836078,0.9999997834378622,neutral,CNCM_I745,0.084042
YEL031W,0.08404225581836078,0.9999997834378622,neutral,CNCM_I745,0.084042
YEL038W,0.0,0.0,essential,CNCM_I745,0.084042
YEL039C,0.08404225581835979,0.9999997834378505,neutral,CNCM_I745,0.084042
YEL041W,0.08404225581836036,0.9999997834378572,neutral,CNCM_I745,0.084042
YEL042W,0.08404225581836036,0.9999997834378572,neutral,CNCM_I745,0.084042
YEL046C,0.08404225581836036,0.9999997834378572,neutral,CNCM_I745,0.084042
YEL047C,0.08404225581835972,0.9999997834378497,neutral,CNCM_I745,0.084042
YEL051W,0.08404225581835979,0.9999997834378505,neutral,CNCM_I745,0.084042
YEL058W,0.0,0.0,essential,CNCM_I745,0.084042
YEL063C,0.08404225581835921,0.9999997834378436,neutral,CNCM_I745,0.084042
YEL066W,0.08404225581835909,0.999999783437842,neutral,CNCM_I745,0.084042
YEL069C,0.08404225581835909,0.999999783437842,neutral,CNCM_I745,0.084042
YEL070W,0.08404225581835909,0.999999783437842,neutral,CNCM_I745,0.084042
YEL071W,0.08404225581835909,0.999999783437842,neutral,CNCM_I745,0.084042
YER003C,0.0,0.0,essential,CNCM_I745,0.084042
YER005W,0.0840422558183591,0.9999997834378422,neutral,CNCM_I745,0.084042
YER010C,0.08404225581836011,0.9999997834378542,neutral,CNCM_I745,0.084042
YER014W,0.0,0.0,essential,CNCM_I745,0.084042
YER015W,0.08404225581835878,0.9999997834378385,neutral,CNCM_I745,0.084042
YER019W,0.0840422558183596,0.9999997834378481,neutral,CNCM_I745,0.084042
YER023W,0.0,0.0,essential,CNCM_I745,0.084042
