zone,systematic_id,log2_ratio,sd_log2,n_samples
duodenum,YBR287W,1.5758,0.3581,4
duodenum,YBR288C,-0.2652,0.1345,4
duodenum,YBR289W,0.0167,0.1462,4
duodenum,YBR290W,0.9183,0.361,4
duodenum,YBR291C,-0.4875,0.2104,4
duodenum,YBR292C,-0.9133,0.5452,4
duodenum,YBR293W,0.135,0.1,4
duodenum,YBR294W,-0.211,0.674,4
duodenum,YBR295W,-0.3402,0.365,4
duodenum,YBR296C,-2.0613,1.1842,4
duodenum,YBR297W,0.7442,0.3644,4
duodenum,YBR298C,0.6733,0.9607,4
duodenum,YBR299W,0.2656,0.231,4
duodenum,YBR300C,-0.9978,0.7833,4
duodenum,YBR301W,0.3035,0.235,4
duodenum,YBR302C,0.4145,0.7348,4
duodenum,YCL001W,-0.2634,0.7722,4
duodenum,YCL002C,-0.5705,0.1489,4
duodenum,YCL003W,0.224,0.3765,4
duodenum,YCL004W,0.37,0.3668,4
duodenum,YCL005W,-0.0128,0.1665,4
duodenum,YCL006C,-0.6983,0.2442,4
duodenum,YCL007C,-0.181,0.2612,4
duodenum,YCL008C,0.4378,0.1897,4
duodenum,YCL009C,-0.487,0.3166,4
duodenum,YCL010C,-0.0932,0.3124,4
duodenum,YCL011C,-0.4645,0.2975,4
duodenum,YCL012W,-0.9915,0.3594,4
duodenum,YCL013W,-0.5467,0.2384,4
duodenum,YCL014W,-0.7337,0.2118,4
duodenum,YCL016C,0.0188,0.1489,4
duodenum,YCL017C,0.0915,0.2713,4
duodenum,YCL018W,0.6895,0.1865,4
duodenum,YCL019W,0.4455,0.3852,4
duodenum,YCL020W,0.788,0.3158,4
duodenum,YCL021W,-0.1255,0.4869,4
duodenum,YCL022C,-0.4543,0.3666,4
duodenum,YCL023C,-0.7745,0.2311,4
duodenum,YCL024W,-0.3805,0.417,4
